组键(budget_order|supplier|cost_type|品名|金额),份数,订单号,订单status,id,金额,source_module,created_at
241524c1-148b-4939-91bb-e7ed757657c7 | 顺龙拉链 | accessory | 染色费 | 120,2,BO-202604-0039,approved,8f252d00-303e-4fe9-ab62-f4139e12f152,120,,2026-04-27
241524c1-148b-4939-91bb-e7ed757657c7 | 顺龙拉链 | accessory | 染色费 | 120,2,BO-202604-0039,approved,91ae038e-a2a3-479c-8e9d-ae1ded7f7185,120,,2026-04-27
693f16d5-3625-4092-8334-e78c3b006a1d | 傲狐服饰 | processing | RS-63-1076（连衣裙） | 8179.2,2,BO-202604-0057,approved,9137d203-6700-4c7a-96f7-ece19df175ea,8179.2,,2026-04-21
693f16d5-3625-4092-8334-e78c3b006a1d | 傲狐服饰 | processing | RS-63-1076（连衣裙） | 8179.2,2,BO-202604-0057,approved,b54d0558-0522-4fb3-b2f7-4e50cdb3188a,8179.2,,2026-04-15
490ea787-89bb-4003-ad9b-162981d2ee38 | 顺龙拉链 | processing | 染色费 | 120,2,529订单,draft,9c05ba79-e8ad-4b54-9760-922d1ae52801,120,excel-new-2026-07,2026-07-04
490ea787-89bb-4003-ad9b-162981d2ee38 | 顺龙拉链 | processing | 染色费 | 120,2,529订单,draft,def30aed-c37e-4a3b-a744-29cf089e311c,120,excel-new-2026-07,2026-07-04
c2bc7e8d-121c-486a-88db-c9f7bc1df1f5 | 华六织带 | processing | 染色费 | 400,2,BO-202604-0055,approved,9c91a8b4-423b-4386-97db-e77a6654bc36,400,excel-attach-2026-07,2026-07-04
c2bc7e8d-121c-486a-88db-c9f7bc1df1f5 | 华六织带 | processing | 染色费 | 400,2,BO-202604-0055,approved,adeba6d9-1923-4396-92e9-6117f23aa12b,400,excel-attach-2026-07,2026-07-04
3dc51e47-69df-4a7d-a3ce-74fad13c08c9 | 华航布行 | fabric | Peppercorn棕咖色 | 0,2,522,draft,a83ce467-7a92-42bb-9f8d-59288c80c6f4,0,excel-new-2026-07,2026-07-04
3dc51e47-69df-4a7d-a3ce-74fad13c08c9 | 华航布行 | fabric | Peppercorn棕咖色 | 0,2,522,draft,fbc04827-21c9-4b47-bfdf-d5e4afc2f0c7,0,excel-new-2026-07,2026-07-04
693f16d5-3625-4092-8334-e78c3b006a1d | 傲狐服饰 | processing | RS-63-1077（连体短裤） | 6912,2,BO-202604-0057,approved,e2a0f84e-cc70-4318-a1bd-59ed8b363f64,6912,,2026-04-15
693f16d5-3625-4092-8334-e78c3b006a1d | 傲狐服饰 | processing | RS-63-1077（连体短裤） | 6912,2,BO-202604-0057,approved,f075fa2d-351e-43f4-8e1b-b33a57f07dde,6912,,2026-04-21
03c1d83e-d0b9-412f-9d55-373d0d06c507 | 荣辰纸箱 | accessory | 55*32*20纸箱 | 216.6,2,BO-202604-0010,draft,e458fcbf-c103-494f-a791-4b150f8aa770,216.6,excel-attach-2026-07,2026-07-04
03c1d83e-d0b9-412f-9d55-373d0d06c507 | 荣辰纸箱 | accessory | 55*32*20纸箱 | 216.6,2,BO-202604-0010,draft,fb7ddecb-5ecc-4f64-b326-1827c08e8597,216.6,excel-attach-2026-07,2026-07-04
