订单号,状态,total_cost列,桶和重算,差额,来源
524订单,draft,1295877.13,1359554.24,-63677.11,"excel_budget_2026-07"
533订单,draft,388318.6,327546.6,60772,"excel_budget_2026-07"
BO-202607-0068,draft,0,60756.1,-60756.1,"excel_budget_2026-07"
BO-202607-0025,draft,0,58877.23,-58877.23,"excel_budget_2026-07"
BO-202607-0067,draft,0,58647.65,-58647.65,"excel_budget_2026-07"
491,draft,483165.52,540606.5,-57440.98,"excel_budget_2026-07"
BO-202607-0026,draft,0,53884.06,-53884.06,"excel_budget_2026-07"
BO-202607-0069,draft,0,53592.48,-53592.48,"excel_budget_2026-07"
1022862,draft,59835.3,107775,-47939.7,"excel_budget_2026-07"
BO-202607-0045,draft,0,47656.1,-47656.1,"excel_budget_2026-07"
BO-202607-0032,draft,0,44880.35,-44880.35,"excel_budget_2026-07"
PO3301961,draft,427869.9,469103.2,-41233.3,"excel_budget_2026-07"
519,draft,673104.98,713452,-40347.02,"excel_budget_2026-07"
485订单,draft,456344.32,416169.3,40175.02,"excel_budget_2026-07"
529订单,draft,702406.18,740266.2,-37860.02,"excel_budget_2026-07"
BO-202607-0031,draft,0,36514.46,-36514.46,"excel_budget_2026-07"
BO-202607-0033,draft,0,35843.63,-35843.63,"excel_budget_2026-07"
BO-202607-0024,draft,0,35591.47,-35591.47,"excel_budget_2026-07"
BO-202607-0047,draft,0,33909.47,-33909.47,"excel_budget_2026-07"
NO.1022920,draft,552.2,32676.97,-32124.77,"excel_budget_2026-07"
BO-202607-0029,draft,0,30525.96,-30525.96,"excel_budget_2026-07"
BO-202604-0047,approved,172195,201545,-29350,"excel_budget_2026-07"
538订单,draft,925681.43,899669.54,26011.89,"excel_budget_2026-07"
BO-202607-0040,draft,0,23959.65,-23959.65,"excel_budget_2026-07"
BO-202607-0044,draft,0,23426.2,-23426.2,"excel_budget_2026-07"
BO-202607-0030,draft,0,22816.38,-22816.38,"excel_budget_2026-07"
BO-202607-0038,draft,0,22687.68,-22687.68,"excel_budget_2026-07"
BO-202604-0021,draft,103277.2,124838.8,-21561.6,"excel_budget_2026-07"
1022914,draft,340,20410.03,-20070.03,"excel_budget_2026-07"
503,draft,133046.02,152187.6,-19141.58,"excel_budget_2026-07"
510B,draft,219439.12,201113.82,18325.3,"excel_budget_2026-07"
BO-202607-0039,draft,0,18263.19,-18263.19,"excel_budget_2026-07"
BO-202607-0016,draft,0,17161.21,-17161.21,"excel_budget_2026-07"
BO-202607-0046,draft,0,16902.58,-16902.58,"excel_budget_2026-07"
NO.1022933,draft,0,16370.2,-16370.2,"excel_budget_2026-07"
BO-202607-0041,draft,0,14623.79,-14623.79,"excel_budget_2026-07"
BO-202607-0019,draft,0,13945.14,-13945.14,"excel_budget_2026-07"
1022930订单,draft,0,13945.14,-13945.14,"excel_budget_2026-07"
534订单,draft,461602.89,475178.4,-13575.51,"excel_budget_2026-07"
485B-1,draft,10921.61,24156.01,-13234.4,"excel_budget_2026-07"
NO.1022926,draft,0,13090,-13090,"excel_budget_2026-07"
537订单,draft,205946.14,218776,-12829.86,"excel_budget_2026-07"
BO-202607-0013,draft,0,12500.29,-12500.29,"excel_budget_2026-07"
1022932,draft,0,12364.97,-12364.97,"excel_budget_2026-07"
BO-202607-0043,draft,0,11265.24,-11265.24,"excel_budget_2026-07"
BO-202607-0042,draft,0,11164.39,-11164.39,"excel_budget_2026-07"
1022915,draft,108,10986.17,-10878.17,"excel_budget_2026-07"
1022931订单,draft,0,9718.23,-9718.23,"excel_budget_2026-07"
BO-202607-0018,draft,0,9718.23,-9718.23,"excel_budget_2026-07"
BO-202604-0033,approved,121543.2,111855.2,9688,"excel_budget_2026-07"
512订单,draft,555878.7,565362.8,-9484.1,"excel_budget_2026-07"
443B,draft,223206.22,214540.04,8666.18,"excel_budget_2026-07"
BO-202604-0030,pending_review,860055.6,851555.6,8500,"excel_budget_2026-07"
522,draft,488459.48,495845,-7385.52,"excel_budget_2026-07"
BO-202604-0054,approved,74604,69984,4620,"excel_budget_2026-07"
511,draft,355368.72,359479.2,-4110.48,"excel_budget_2026-07"
BO-202604-0040,approved,745990,749706,-3716,"excel_budget_2026-07"
503B,draft,227610,231314,-3704,"excel_budget_2026-07"
534B订单,draft,117379.25,114771.88,2607.37,"excel_budget_2026-07"
512B订单,draft,404798.75,406708.8,-1910.05,"excel_budget_2026-07"
510,draft,581027.5,582578,-1550.5,"excel_budget_2026-07"
466B,draft,180144.58,178756.28,1388.3,"excel_budget_2026-07"
BO-202604-0048,approved,23456,22436,1020,"excel_budget_2026-07"
BO-202604-0022,draft,167675.45,166675.45,1000,"excel_budget_2026-07"
518,draft,28762.59,27829,933.59,"excel_budget_2026-07"
533B,draft,398920.41,398005.36,915.05,"excel_budget_2026-07"
BO-202604-0050,approved,37908,37010.7,897.3,"excel_budget_2026-07"
NO.1022836,draft,49047.28,49760,-712.72,"excel_budget_2026-07"
BO-202604-0055,approved,316320.6,315720.6,600,"excel_budget_2026-07"
BO-202604-0046,approved,52484,51984,500,"excel_budget_2026-07"
511B,draft,304087.07,303666.02,421.05,"excel_budget_2026-07"
BO-202604-0015,approved,248722.5,248322.5,400,"excel_budget_2026-07"
BO-202604-0041,approved,17999.98,17600,399.98,"excel_budget_2026-07"
BO-202604-0051,approved,22391.84,22191.84,200,"excel_budget_2026-07"
485-1,draft,744682.44,744801,-118.56,"excel_budget_2026-07"
BO-202604-0042,approved,31972,32072,-100,"excel_budget_2026-07"
BO-202604-0052,approved,5348.8,5248.8,100,"excel_budget_2026-07"
BO-202604-0025,pending_review,17665,17765,-100,"excel_budget_2026-07"
BO-202604-0049,approved,49205,49155,50,"excel_budget_2026-07"
PO3301964,draft,35939.06,35923.08,15.98,"excel_budget_2026-07"
