匹配键(supplier|品名|金额|数量),组内份数(recon+exnew),recon_fix_id,recon_budget_order_id,recon_订单号,recon_订单status,recon_供应商,recon_品名,recon_金额,recon_数量,recon_source_id,exnew_id,exnew_budget_order_id,exnew_订单号,exnew_订单status,exnew_供应商,exnew_品名,exnew_金额,exnew_数量,exnew_source_id,是否draft订单涉及
品泰服饰 | R0412J92-89 | 17748 | 1224,3,11eeca24-67ca-4529-aa4d-8c55c4c42762,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,品泰服饰,R0412J92-89,17748,1224,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",e4d1fca3-c09c-4981-9b90-49e8428d4757,b3f16d05-8e6d-4cdc-a550-6766d4202180,Invoice72（1022944订单）,draft,品泰服饰,R0412J92-89,17748,1224,Invoice72（1022944订单）,Y
纺冠网纱 | 黑色网纱 | 2648.6 | 101.87,3,12f6a332-3896-4b2e-8271-eacf3897f38f,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,纺冠网纱,黑色网纱,2648.6,101.87,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",43b285b5-44ae-4634-b17b-a299cb047d0f,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,纺冠网纱,黑色网纱,2648.6,101.87,545,Y
纺冠网纱 | 黑色网纱 | 2648.6 | 101.87,3,12f6a332-3896-4b2e-8271-eacf3897f38f,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,纺冠网纱,黑色网纱,2648.6,101.87,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",8c996145-09f0-4c89-bcf6-ee3eb299c60e,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,纺冠网纱,黑色网纱,2648.6,101.87,544,Y
中阳烫标 | 烫标 | 615.6 | 6840,2,1590c720-a900-463a-aeb9-66928b4636e7,9dd2b839-70a2-417e-8108-82d58b06b403,BO-202607-0054,draft,中阳烫标,烫标,615.6,6840,"{""sheet"":""544B"",""note"":""纠正性重导入-类目差额补漏""}",65cc61e5-f19b-4999-b369-de9427bb087a,8388b1a2-7993-4650-8085-402eb3029616,544B,draft,中阳烫标,烫标,615.6,6840,544B,Y
优彩包装 | 32款吊牌 | 4776.32 | 70240,2,15d3be86-677d-4ecd-a9bd-33a31c19f53e,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,优彩包装,32款吊牌,4776.32,70240,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",51cf959b-a813-49a5-8471-61e00156adf4,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,优彩包装,32款吊牌,4776.32,70240,545,Y
3360 | 0109KP20-00247喇叭裤2条装 | 40320 | 3360,2,18dc44ac-9dac-49b9-b281-fba6066cc010,9dd2b839-70a2-417e-8108-82d58b06b403,BO-202607-0054,draft,3360,0109KP20-00247喇叭裤2条装,40320,3360,"{""sheet"":""544B"",""note"":""纠正性重导入-类目差额补漏""}",6574a8e1-552d-4bd4-9018-e9b83d5e5ab1,8388b1a2-7993-4650-8085-402eb3029616,544B,draft,3360,0109KP20-00247喇叭裤2条装,40320,3360,544B,Y
锦丰布行 | 深海蓝 | 25856.01 | 1109.7,2,192755e7-151b-407d-85fe-d23f66f934aa,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,锦丰布行,深海蓝,25856.01,1109.7,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",37a979c0-a31f-4268-841f-6612795eef68,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,锦丰布行,深海蓝,25856.01,1109.7,540,Y
傲狐服饰 | 0609P24-00喇叭裤 | 65664 | 9120,2,1962f292-a5cf-4af2-8ac2-e056f48c27b1,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,傲狐服饰,0609P24-00喇叭裤,65664,9120,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",1d41be2c-8605-462f-a7c6-2b7f2639653f,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,傲狐服饰,0609P24-00喇叭裤,65664,9120,544,Y
荣辰纸箱 | 58*35*42纸箱 | 1577.6 | 272,2,19903e8c-632f-40de-8b5a-8a550b70d9c4,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,荣辰纸箱,58*35*42纸箱,1577.6,272,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",676b2ed1-7d48-478a-a052-a68395fb6b40,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,荣辰纸箱,58*35*42纸箱,1577.6,272,527,Y
顺龙拉链 | 5号黑色拉链 | 3648.75 | 4865,2,1a3edb3f-a941-4e8c-bd14-ab1774600b99,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,顺龙拉链,5号黑色拉链,3648.75,4865,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",c612349c-730a-4dd6-bbe7-d6db03b60361,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,顺龙拉链,5号黑色拉链,3648.75,4865,527,Y
华航布行 | 海军蓝 | 48788.35 | 2076.1,2,1a3fccba-3db4-4342-8952-3836fd08ced5,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,华航布行,海军蓝,48788.35,2076.1,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",1eb0f37a-bc71-4cf2-82ca-1adf8046f15d,d3b7cdd6-c01d-4590-b3cc-312dbeaff59b,543B,draft,华航布行,海军蓝,48788.35,2076.1,543B,Y
 | CI-57装柜费 | 48 | 0,2,1a47617a-2ede-4b33-8616-7f916834ad66,20ba2afd-afdb-42d4-8b41-f86dc37f8eee,BO-202604-0018,draft,,CI-57装柜费,48,0,"{""sheet"":""518"",""note"":""纠正性重导入-类目差额补漏""}",2c49d8d6-85b6-4260-baa9-7d90a85f0e86,eabb1b9c-1a21-4cb3-b496-44a5c81e67d3,518,draft,,CI-57装柜费,48,0,518,Y
旺泽布行 | 黑色色纱 | 341664 | 14236,2,1d740dae-ae8b-4b65-944e-e1e94fb3faa0,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,旺泽布行,黑色色纱,341664,14236,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",0975407f-3ebf-40f2-aae8-08b590c08c50,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,旺泽布行,黑色色纱,341664,14236,545,Y
楚逸织带 | 透明皮 | 135 | 5,2,1d82fe39-e87b-4e12-9a99-8b395e5aa6a3,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,楚逸织带,透明皮,135,5,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",b39c704f-6064-413d-931a-f15b2c8d201a,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,楚逸织带,透明皮,135,5,527,Y
锦丰布行 | 丈青 | 16310 | 700,2,1db7d08e-44fd-4c83-9459-ab10c5aab250,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,锦丰布行,丈青,16310,700,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",dd3b6756-e299-4743-a810-e432b8712768,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,锦丰布行,丈青,16310,700,540,Y
顺龙拉链 | 墨绿3号拉链 | 1872 | 10400,2,2043c046-2a49-4b95-948d-b6ba43970919,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,顺龙拉链,墨绿3号拉链,1872,10400,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",770dde67-d8fa-4363-85ac-e8b7a410deb6,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,顺龙拉链,墨绿3号拉链,1872,10400,542,Y
小陈制袋 | 中包袋46*43+8 | 651 | 3100,2,20a61642-758a-46f7-9cde-08a031b498fb,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,小陈制袋,中包袋46*43+8,651,3100,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",16e96796-b3f7-42f7-a75f-bbdec6cad966,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,小陈制袋,中包袋46*43+8,651,3100,544,Y
 | 装柜费 | 800 | 0,3,2286cdcb-735b-4c50-89fa-be8d09fe9338,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,,装柜费,800,0,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",21f4f385-0ffa-48ca-aef5-634d7882b77b,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,,装柜费,800,0,542,Y
 | 装柜费 | 800 | 0,3,2286cdcb-735b-4c50-89fa-be8d09fe9338,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,,装柜费,800,0,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",3624e03a-f9c3-4182-b019-93f6e1d47407,d80a3fd9-2f3f-48c5-8dda-41d3c1ca5439,NO.1022857-539#,draft,,装柜费,800,0,NO.1022857-539#,Y
傲狐服饰 | 0609P23-00喇叭裤 | 26880 | 3840,2,26b88089-53ab-471e-8ea3-6b94203fa78b,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,傲狐服饰,0609P23-00喇叭裤,26880,3840,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",c33e3555-2013-4241-b486-040e25e05e38,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,傲狐服饰,0609P23-00喇叭裤,26880,3840,544,Y
傲狐服饰 | 0107KL14-00171 | 74649.6 | 5184,2,285406de-c86b-47e9-9533-604be4c7746e,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,傲狐服饰,0107KL14-00171,74649.6,5184,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",25f56c84-e059-4b0b-9de9-c84a0ac3b346,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,傲狐服饰,0107KL14-00171,74649.6,5184,542,Y
华航布行 | 深紫 | 31781.4 | 1352.4,2,28eb033b-4036-4bb0-ab96-a923f1a27256,9dd2b839-70a2-417e-8108-82d58b06b403,BO-202607-0054,draft,华航布行,深紫,31781.4,1352.4,"{""sheet"":""544B"",""note"":""纠正性重导入-类目差额补漏""}",698ffddc-9a04-417e-96db-3fefdf11e15e,8388b1a2-7993-4650-8085-402eb3029616,544B,draft,华航布行,深紫,31781.4,1352.4,544B,Y
纺冠网纱 | 海报棕网纱 | 5220.8 | 200.8,2,293e49ac-992f-4a15-b412-a1f6bb2273be,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,纺冠网纱,海报棕网纱,5220.8,200.8,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",aff9745f-1102-4980-b566-aaa883b0b4fb,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,纺冠网纱,海报棕网纱,5220.8,200.8,545,Y
华航布行 | 黑色 | 45676.75 | 2124.5,2,29fa984a-00c3-4e40-b7c9-c1ecc0f35a2a,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,华航布行,黑色,45676.75,2124.5,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",a93865f7-7169-4f7b-bf0d-b3fff5f52871,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,华航布行,黑色,45676.75,2124.5,527,Y
优彩包装 | 16款吊卡 | 1294.72 | 19040,2,2db30cc5-65e8-4c82-8d7f-e15297ff9ea7,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,优彩包装,16款吊卡,1294.72,19040,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",7ae39812-5a4e-4fb4-8eb9-e85bf6e5decc,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,优彩包装,16款吊卡,1294.72,19040,544,Y
宁波言晨国际物流有限公司 | CI-54货代费 | 4200 | 0,2,3252850d-d9fc-4c4a-a089-b5f092afe558,c8cd1a87-d1be-400e-9b19-99177acac0f7,BO-202604-0002,approved,宁波言晨国际物流有限公司,CI-54货代费,4200,0,"{""sheet"":""511"",""note"":""纠正性重导入-类目差额补漏""}",ae6fdb8c-5d95-4827-b4c4-139f5668905b,ccdbeb13-710e-4d2e-b0ee-f63cd7c295a9,511,draft,宁波言晨国际物流有限公司,CI-54货代费,4200,0,511,Y
中阳烫标 | 烫标 | 882.9 | 9810,2,34471b3b-1775-4e69-b65b-8a9ed419db82,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,中阳烫标,烫标,882.9,9810,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",e69578f0-4b9e-46fa-8541-6bcf3cbd10c7,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,中阳烫标,烫标,882.9,9810,544,Y
旺泽布行 | 赤红色 | 25737.5 | 1029.5,2,35c94e5f-bf5d-4b66-b924-756193dcb6bb,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,旺泽布行,赤红色,25737.5,1029.5,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",221c7d93-2a73-4efe-9b16-dfe9d92e1897,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,旺泽布行,赤红色,25737.5,1029.5,545,Y
华航布行 | 蕨棕 | 13019 | 554,2,3ab9b2eb-9e0e-4146-a7a7-296e3b9455ed,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,华航布行,蕨棕,13019,554,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",f9057832-8e5a-4111-8319-bd5ef5bf0c3a,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,华航布行,蕨棕,13019,554,527,Y
华航布行 | 忧郁紫红 | 11975.6 | 509.6,2,3b5f04cf-98de-4d48-9dd5-1ececdd1944b,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,华航布行,忧郁紫红,11975.6,509.6,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",935f76b1-610d-4930-8445-f5100f015776,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,华航布行,忧郁紫红,11975.6,509.6,527,Y
锦丰布行 | 黑色 | 82554.54 | 3875.8,2,3c337b2a-9b3a-4de0-8cde-72898399dc2f,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,锦丰布行,黑色,82554.54,3875.8,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",186a1043-a4f4-43c0-9592-48ed2fe7062f,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,锦丰布行,黑色,82554.54,3875.8,540,Y
荣辰纸箱 | 天地盖 | 180 | 1200,2,3caf1831-96e6-40ea-8626-7f592b67adc4,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,荣辰纸箱,天地盖,180,1200,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",8276552f-224b-46b7-8b3e-e4dd3228af03,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,荣辰纸箱,天地盖,180,1200,544,Y
荣辰纸箱 | 天地盖 | 90 | 600,2,3cdc6916-dd45-4cb7-b63d-9afc9a0828e0,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,荣辰纸箱,天地盖,90,600,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",dd1cf1d9-6220-49d4-9817-efc9ed2ad53f,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,荣辰纸箱,天地盖,90,600,527,Y
顺龙拉链 | 3号布边隐形拉链墨绿 | 28.26 | 157,2,3d8ba76b-8cc0-4a54-9996-75aa5a646a5b,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,顺龙拉链,3号布边隐形拉链墨绿,28.26,157,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",9b7a17b3-64e4-4443-8125-55f1b4382331,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,顺龙拉链,3号布边隐形拉链墨绿,28.26,157,542,Y
傲狐服饰 | 0106KC14-00232 | 44716.8 | 3288,3,405ecdaa-4cdd-4ff4-a4ea-b6a4f38c520c,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,傲狐服饰,0106KC14-00232,44716.8,3288,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",5de92009-fee0-4386-b08b-b392cfdbf235,b4b29bde-63d8-48fe-81d9-057c1c90f3be,Invoice61（1022892订单）,draft,傲狐服饰,0106KC14-00232,44716.8,3288,Invoice61（1022892订单）,Y
傲狐服饰 | 0106KC14-00232 | 44716.8 | 3288,3,405ecdaa-4cdd-4ff4-a4ea-b6a4f38c520c,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,傲狐服饰,0106KC14-00232,44716.8,3288,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",e02f22da-3e44-486d-94c5-d3e4c97ac4b4,3b213237-a04d-49e6-9916-b92dfdfe5fa1,511B,draft,傲狐服饰,0106KC14-00232,44716.8,3288,511B,Y
荣辰纸箱 | 天地盖 | 67.5 | 450,2,4069c2bf-0357-4e90-9464-3afa2143ea49,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,荣辰纸箱,天地盖,67.5,450,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",bc9d5ed3-de88-4225-a530-569897f9e0e9,d3b7cdd6-c01d-4590-b3cc-312dbeaff59b,543B,draft,荣辰纸箱,天地盖,67.5,450,543B,Y
 | 装柜费CI-61 | 396 | 0,2,43fa3257-80fd-4a6b-96a3-644991bb4920,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,,装柜费CI-61,396,0,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",1864a707-97dd-4cfb-8b25-fbd9d9d50224,3b213237-a04d-49e6-9916-b92dfdfe5fa1,511B,draft,,装柜费CI-61,396,0,511B,Y
傲狐服饰 | 0106KC14-00163 | 44716.8 | 3288,3,4403f1e1-d928-4f28-a358-d739f910c30b,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,傲狐服饰,0106KC14-00163,44716.8,3288,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",260c26c9-e4e3-452a-8b0b-b0031dd4753b,b4b29bde-63d8-48fe-81d9-057c1c90f3be,Invoice61（1022892订单）,draft,傲狐服饰,0106KC14-00163,44716.8,3288,Invoice61（1022892订单）,Y
傲狐服饰 | 0106KC14-00163 | 44716.8 | 3288,3,4403f1e1-d928-4f28-a358-d739f910c30b,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,傲狐服饰,0106KC14-00163,44716.8,3288,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",931c6438-5382-42cd-873e-31a80627a62d,3b213237-a04d-49e6-9916-b92dfdfe5fa1,511B,draft,傲狐服饰,0106KC14-00163,44716.8,3288,511B,Y
荣辰纸箱 | 天地盖 | 165 | 1100,2,46cb2f15-a215-4875-9a96-353fa0dd68f6,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,荣辰纸箱,天地盖,165,1100,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",b6fa9b28-8d1c-4f7b-80a7-10fed3b5d1ae,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,荣辰纸箱,天地盖,165,1100,540,Y
荣辰纸箱 | 65*42*30纸箱 | 8097.2 | 1306,2,4cf792f4-df47-4374-b77f-478133139698,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,荣辰纸箱,65*42*30纸箱,8097.2,1306,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",76ea624a-4cee-4f5f-96fa-f36557f8bdba,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,荣辰纸箱,65*42*30纸箱,8097.2,1306,542,Y
中阳印刷 | 烫标 | 6184.8 | 68720,2,4dfb4fe9-4ce7-4cb3-b03f-e323e4e6ee6c,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,中阳印刷,烫标,6184.8,68720,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",ef509482-f15e-45dc-8eb0-e72043cb8ecc,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,中阳印刷,烫标,6184.8,68720,545,Y
